,Bubblesort,,,Insertionsort,,,Selectionsort,,,Combsort,,,Shellsort,,,Mergesort,,
Casos,Norm,Aleat,Inver,Norm,Aleat,Inver,Norm,Aleat,Inver,Norm,Aleat,Inver,Norm,Aleat,Inver,Norm,Aleat,Inver
10,0.0000078,0.000021,0.0000096,0.0000069,0.000008,0.0000069,0.0000048,0.0000069,0.0000067,0.0000087,0.0000117,0.0000109,0.000006,0.0000074,0.000008,0.0000184,0.0000196,0.0000157
20,0.000009,0.0000177,0.0000193,0.000007,0.00001,0.000012,0.000012,0.0000133,0.0000127,0.0000097,0.0000153,0.000014,0.000008,0.000011,0.0000103,0.0000263,0.0000273,0.000026
40,0.0000187,0.0000433,0.0000433,0.0000083,0.0000197,0.0000233,0.0000267,0.0000293,0.000028,0.000016,0.000025,0.0000323,0.000011,0.0000213,0.0000197,0.0000373,0.0000403,0.0000387
80,0.000056,0.0001563,0.000144,0.000011,0.0000597,0.0000663,0.000077,0.0000907,0.0000827,0.0000273,0.0000473,0.0000443,0.0000187,0.0000397,0.0000383,0.0000587,0.000069,0.0000633
100,0.0000827,0.0002293,0.000213,0.000011,0.0000817,0.000092,0.0001133,0.00013,0.000127,0.0000333,0.000059,0.0000563,0.000022,0.0000493,0.000047,0.000068,0.000083,0.000072
200,0.0003153,0.000828,0.0007583,0.0000153,0.0002857,0.000324,0.0004173,0.000485,0.0004357,0.0000653,0.0001257,0.000112,0.0000423,0.0001083,0.000102,0.0001257,0.0001577,0.0001357
400,0.0012487,0.0033343,0.0028953,0.0000233,0.001081,0.0011437,0.0015777,0.0016897,0.0016327,0.0001323,0.0002703,0.0002557,0.0000857,0.0002523,0.0002017,0.0002353,0.0003153,0.0002757
800,0.0049313,0.010521,0.0099973,0.0000397,0.0043343,0.0044337,0.006158,0.0055507,0.005932,0.0002863,0.0005893,0.0005347,0.0001827,0.000558,0.0004777,0.0004683,0.000659,0.0005753
1600,0.014966,0.0331647,0.02659,0.000071,0.0144573,0.0131997,0.0183143,0.0182747,0.016736,0.0006253,0.001345,0.0012467,0.000408,0.0011767,0.00114,0.0009403,0.0013887,0.0011453
3200,0.0433343,0.0998873,0.08617,0.0001427,0.0400613,0.0381667,0.0506337,0.050804,0.0507687,0.001384,0.0029033,0.0027213,0.0008713,0.0026797,0.002568,0.00197,0.0029447,0.0024713
6400,0.1433337,0.3739833,0.3169267,0.0002603,0.1247503,0.1437063,0.1790263,0.17553,0.175268,0.0030383,0.0062937,0.005635,0.001908,0.0062537,0.0058777,0.0041023,0.0056423,0.005214
12800,0.5580743,1.4530753,1.2668747,0.0005257,0.5426573,0.479245,0.687471,0.6972667,0.6839733,0.00653,0.010331,0.0100453,0.0041467,0.0113537,0.0111183,0.0079563,0.0109757,0.0093597
25600,2.2435547,5.8222483,4.8948343,0.0010417,1.8970203,1.8769943,2.730098,2.7609807,2.7053977,0.0108697,0.0155263,0.016162,0.007111,0.0167107,0.015795,0.0137713,0.0154463,0.015034
51200,8.772095,23.3337693,19.410504,0.0016893,7.5288707,8.640234,10.8387597,10.9129157,10.826674,0.0154997,0.0289933,0.0286327,0.0147683,0.0353707,0.0330883,0.020864,0.027512,0.0254093
102400,35.956048,92.226365,77.8019197,0.001856,29.9283773,29.8712847,43.0798937,43.4781917,43.340487,0.030851,0.0570737,0.0545963,0.0181267,0.0703357,0.067675,0.035957,0.0553373,0.0484973
204800,141.0809107,370.2598823,308.561029,0.003673,121.6236407,134.9968277,172.3302167,172.7412867,173.1865633,0.0636443,0.122242,0.1147757,0.0394727,0.1559227,0.1242143,0.073571,0.1170337,0.0983153
409600,560.7072693,1492.329126,1237.667928,0.0071797,486.5010817,478.603028,688.3864847,690.788963,694.0893173,0.1366057,0.2573367,0.2510217,0.081596,0.339151,0.2885787,0.1522897,0.2446923,0.208047
819200,2246.67742,5886.5530747,4885.6181853,0.014372,1918.4056953,1923.9391177,2788.7468997,2789.774043,2789.8193533,0.287052,0.5463017,0.5228803,0.1698893,0.7974997,0.5618357,0.3203337,0.5120493,0.426353
1638400,8986.70968,23546.2122988,19542.4727412,0.028791,7673.6227812,7695.7564708,11154.9875988,11159.096172,11159.2774132,0.6292013,1.1494087,1.094356,0.36432,1.9256227,1.249765,0.6677827,1.076751,0.8913223
3276800,35946.83872,94184.8491952,78169.8909648,0.0580327,30694.4911248,30783.0258832,44619.9503952,44636.384688,44637.1096528,1.319218,2.451379,2.3232063,0.7629437,4.2129193,2.892181,1.3896977,2.2489013,1.8835743
